EVTDESCPA.10071;The city of Constantinople has finally fallen to our forces. Our ancestors have been fighting the Byzantines for centuries, but now the conflict is finally over. It was hard work breaching the Theodosian Walls, but the countless treasures which lay beyond than make up for our losses. Control over the Sea of Marmara will greatly enrich our people, and allow us to expand further into Byzantine territory. A golden age has begun for the Bulgar people, all thanks to [Root.GetTitledFirstName]'s leadership.;;;;;;;;;x 
tp_etchmiadzin;Etchmiadzin Cathedral;;;;;;;;;x 
tp_etchmiadzin_desc;Originally constructed in the early 4th century by Saint Gregory the Illuminator, Etchmiadzin Cathedral is the base of the Catholicos of All Armenia and one of the Apostolic faith's most important holy sites.;;;;;;;;;x 
tp_grandmosque;Grand Mosque;;;;;;;;;x 
tp_grandmosque_desc;The largest and most sacred mosque in the world, the Grand Mosque contains the Kabba, the most important holy site in all of Islam. All Muslims are required to undertake a pilgrimage to the Kabba once in their lifetime.;;;;;;;;;x 
tp_prophetsmosque;Prophet's Mosque;;;;;;;;;x 
tp_prophetsmosque_desc;The second most important holy place in Islam, the Prophet's Mosque is said to have been constructed by Muhammad himself. It is one of the largest mosques in the world, rivalled only by the Grand Mosque in Mecca.;;;;;;;;;x 
EVTNAMEPA.10072;Fall of Thessalonika;;;;;;;;;x 
EVTDESCPA.10072;The city of Thessalonika has finally fallen to our forces and accepted [Root.GetTitledFirstName]'s rule. Named after Thessalonike, the wife of the diadochi Cassander, the city of Thessalonika flourished under Roman rule. It was one of the few cities in Greece which was able to resist the Slavic incursions in the 8th century, owing to it's strong defences. The second largest city in Greece after Constantinople, Thessalonika will make a fine addition to the kingdom.;;;;;;;;;x 
EVTNAMEPA.10073;Fall of Athens;;;;;;;;;x 
EVTDESCPA.10073;The city of Athens has fallen to our forces and accepted [Root.GetTitledFirstName] as it's sovereign. One of the greatest cities of the ancient Greek world, Athens became a part of the Roman Republic in 146 BC and flourished under Imperial rule. The city remained under Roman control even after the losses to the Arabs, who failed to take Constantinople and invade Greece. While Athens may not be as large as it once was, it will still make a fine addition to the kingdom.;;;;;;;;;x 
EVTNAMEPA.10074;Fall of Constantinople;;;;;;;;;x 
EVTDESCPA.10074;The city of Constantinople has finally fallen to our forces. The Byzantine Empire has questioned the legitimacy of our state since it's very foundation, but now we can lay claim to the title of protector of all Greeks. The trade which flows through the Sea of Marmara will greatly enrich our people, and Constantinople's strong defences will form a bulwark against eastern threats. The future of the realm is secured, all thanks to [Root.GetTitledFirstName]'s leadership.;;;;;;;;;x 
EVTNAMEPA.10076;Fall of Byzantium;;;;;;;;;x 
EVTDESCPA.10076;The Byzantine Empire has fallen, leaving ourselves as the true heirs of Rome and Greece. The Byzantine people claimed to be Romans, but they abandoned the Latin language under Emperor Heraclius, and Rome itself passed outside of Imperial control in the 7th century. We are the true fore-bearers of Hellenistic culture, a fact none can deny any longer. A new golden age of Greek culture will begin under our protection, all thanks to [Root.GetTitledFirstName]'s leadership.;;;;;;;;;x 
EVTNAMEPA.10077;Fall of Thessalonika;;;;;;;;;x 
EVTDESCPA.10077;The city of Thessalonika has finally fallen to our forces and accepted [Root.GetTitledFirstName]'s rule. Named after Thessalonike, the wife of the diadochi Cassander, the city of Thessalonika flourished under Roman rule. It was one of the few cities in Greece which was able to resist the Slavic incursions in the 8th century, owing to it's strong defences. The second largest city in Greece after Constantinople, Thessalonika will make a fine addition to the Empire.;;;;;;;;;x 
EVTNAMEPA.10078;Fall of Athens;;;;;;;;;x 
EVTDESCPA.10078;The city of Athens has fallen to our forces and accepted [Root.GetTitledFirstName] as it's sovereign. One of the greatest cities of the ancient Greek world, Athens became a part of the Roman Republic in 146 BC, flourising under Imperial rule. The city remained under Roman control even after the losses to the Arabs, who failed to take Constantinople and invade Greece. While Athens may not be as large as it once was, it will still make a fine addition to the Empire.;;;;;;;;;x 
EVTNAMEPA.10079;Fall of Constantinople;;;;;;;;;x 
EVTDESCPA.10079;The city of Constantinople has finally fallen to our forces. The Byzantine Empire has questioned the legitimacy of our state since it's very foundation, but now we can lay claim to the title of Protector of All Greeks. The trade which flows through the Sea of Marmara will greatly enrich our people, and Constantinople's strong defences will form a bulwark against western threats. The future of the realm is secured, all thanks to [Root.GetTitledFirstName]'s leadership.;;;;;;;;;x 
EVTNAMEPA.10080;Fall of Byzantium;;;;;;;;;x 
EVTDESCPA.10080;The Byzantine Empire has fallen, leaving ourselves as the true heirs of Rome and Greece. The Byzantines claimed to be Romans, but they abandoned the Latin language under Emperor Heraclius, and Rome itself passed outside of Imperial control in the 8th century. We are the true fore-bearers of Hellenistic culture, a fact none can deny any longer. A new golden age of Greek culture will begin under our protection, all thanks to [Root.GetTitledFirstName]'s leadership.;;;;;;;;;x 
EVTNAMEPA.10082;Reconquest of Dacia;;;;;;;;;x 
EVTDESCPA.10082;The former Roman province of Dacia has been brought back under Imperial control. The heavily forested kingdom was conquered by Emperor Trajan in 106 AD, who turned it into a Roman colony. Abandoned in 271 by Emperor Aurelian, the area became the home of various tribal peoples, such as the Gepids, Huns, and Avars, who frequently undertook raids across the Danube. With the reconquest of this fertile basin, Rome's Balkan provinces are now secure.;;;;;;;;;x 
EVTNAMEPA.10083;Conquest of Persia;;;;;;;;;x 
EVTDESCPA.10083;After centuries of warfare, Persia has finally been brought under Imperial control. The Persians were long-time rivals of Rome, and nearly caused it's downfall after the Roman-Sassanid wars of the 7th century. The Persian lands which were taken by Emperor Trajan were abandoned under his successor, Hardian, who seen them as indefensible, allowing the Parthians to recover them. With the conquest of Persia, Rome's rich eastern lands are now secure.;;;;;;;;;x 
EVTNAMEPA.10084;Conquest of Slavinia;;;;;;;;;x 
EVTDESCPA.10084;The slavic peoples around the Baltic have been brought under Imperial control. This area, known as Slavinia after it's inhabitants, was never a part of the old Empire, which lost most of it's German territories after the Battle of Teutoburg Forest. Emperor Augustus had planned to push Rome's borders past the Elbe, but the setback at Teutoburg Forest forced the Romans back behind the Rhine. With the conquest of Slavinia, Emperor Augustus' dream has finally been realised.;;;;;;;;;x 
CB_NAME_SUBJUGATION2;Imperial Subjugation of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_SUBJUGATION2;$ORDER$$FIRST_ADJ$ Imperial Subjugation of $OTHER_TITLE$;;;;;;;;;x 
imperial_subjugation2_desc;We are the true heirs of Rome, and our empire should reflect this! $CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!;;;;;;;;;x 
CB_NAME_SUBJUGATION3;Imperial Subjugation of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_SUBJUGATION3;$ORDER$$FIRST_ADJ$ Imperial Subjugation of $OTHER_TITLE$;;;;;;;;;x 
imperial_subjugation3_desc;We are the true heirs of Rome, and our empire should reflect this! $CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!;;;;;;;;;x 
k_thessalonika;Thessalonika;;;;;;;;;x 
k_thessalonika_adj;Thessalonikan;;;;;;;;;x 
form_thessalonika_kingdom;Form the Kingdom of Thessalonika;;;;;;;;;x 
form_thessalonika_kingdom_desc;With Thessalonika and the surrounding hinterland firmed under your control, you could declare yourself king.;;;;;;;;;x 
EVTNAMEPA.10085;The Varangian Guard;;;;;;;;;x 
EVTDESCPA.10085;We thought the fall of the Greek kingdom was the end of the Varangian Guard, but we were wrong. Impressed by our people's fighting prowess, [Root.GetTitledFirstName] has decided to restablish the Varangian Guard. Thousands of our countrymen have already left to join the Guard, committed to restoring the honour and reputation of this once-feared mercenary unit. This will undoubtedly effect events in Scandinavia, as men return with wealth and skill.;;;;;;;;;x 
EVTNAMEPA.10086;Reconquest of Tangiers;;;;;;;;;x 
EVTDESCPA.10086;The city of Tangiers has been recovered from the foreign barbarians at last. Known as Tingis in Roman times, the city was once the capial of the Roman province of Mauretania Tingitana. Lost to the Vandals in 425, the city was reconquered by Emperor Justinian in 534, but was lost again to the Arabs in 702. Although Tangiers' prime has long since ended, it should become an important city in the Empire once more.;;;;;;;;;x 
EVTNAMEPA.10087;Reconquest of Cordoba;;;;;;;;;x 
EVTDESCPA.10087;The city of Cordoba has been recovered from the foreign barbarians at last. Originally a part of Carthage's Spanish lands, Cordoba was conquered by the Romans in 209 BC. The city remained an important centre of trade in Roman Spain until it fell to the Visigoths in 418. Reconquered for a time by Emperor Justinian, Cordoba fell to the Arabs in 711, eventually becoming the capital of the Umayyad Caliphate.;;;;;;;;;x 
EVTNAMEPA.10088;Reconquest of Bordeaux;;;;;;;;;x 
EVTDESCPA.10088;The city of Bordeaux has been recovered from the foreign barbarians at last. Known as Burdigala in Roman times, the city was once the capital of the Roman province of Aquitania. The city remained an important centre of trade in Roman Gaul until it came under Visigoth control in 418. The city eventually fell to the Franks in 507, and remained a part of the Frankish realm until its division in 888.;;;;;;;;;x 
EVTNAMEPA.10089;Reconquest of Trier;;;;;;;;;x 
EVTDESCPA.10089;The city of Trier has been recovered from the foreign barbarians at last. Known as Augusta Treverorum in Roman times, the city was once the capital of the Roman province of Gallia Belgica. The city served as the capital of the Gallic Empire for a time during the Crisis of the Third Century, and remained an important garrison base for the Roman Army until it's fall to the Franks in 413.;;;;;;;;;x 
EVTNAMEPA.10090;Reconquest of London;;;;;;;;;x 
EVTDESCPA.10090;The city of London has been recovered from the foreign barbarians at last. Known as Londinium in Roman times, the city was once the capital of the Roman province of Britannia. Founded as a small town in 50 AD after the Roman conquest of Britain, London's population grew rapidly in the 2nd century after it was designated the capital of the province of Britannia, replacing Colchester.;;;;;;;;;x 
CALIPHA;Calipha;;;;;;;;;x 
CALIPH_FOA;My Caliph;;;;;;;;;x 
EVTNAMEPA.10092;The Varangian Guard;;;;;;;;;x 
EVTDESCPA.10092;Impressed by the stories of the Varangians prowess in battle, [Root.GetTitledFirstName] has decided to reform the fabled mercenary unit. The Varangian Guard was one of the best military units in the world during Byzantine times, and [Root.GetTitledFirstName] hopes to restore it's honour and reputation. The Byzantine Empire may be gone, but its legacy lives on through its successors.;;;;;;;;;x 
gothic;Gothic;;;;;;;;;x 
religious_upheaval;Religious Upheaval;;;;;;;;;x 
sword_of_caesar;Caesar's Sword;;;;;;;;;x 
EVTNAMEPA.10091;Caesar's Sword;;;;;;;;;x 
EVTDESCPA.10091;A group of construction workers uncovered a large underground chamber during a renovation project in Rome. A large marble statue was found inside the chamber, grasping a weapon. Upon further inspection, the statue was revealed to be that of Julius Caesar, holding a Gallic longsword. An inscription was found carved into the blade, which said: "For he who is destined to rule." As the rightful [Root.GetTitle] of Rome, you could claim it for yourself. As an artefact, it's bound to be worth money. What do you do with it?;;;;;;;;;x 
ERA_CHAR_INFO_70490;The last emperor from the Amorios dynasty, Michael III was not known for being particularly competent. He lacked administrative and diplomatic skills, and was unpopular with the people due to his contempt towards the church. He was murdered by Basil I on the 24th of September, 867, alongside several of his courtiers. Vicious rumours were spread about him after his death, mostly about his alleged alcoholism, but they were likely propaganda invented by his enemies.;;;;;;;;;x 
vice_royalty_count_roman;Rector;;;;;;;;;x 
vice_royalty_count_female_roman;Rectrix;;;;;;;;;x 
vice_royalty_county_of_roman;Coventus of;;;;;;;;;x 
vice_royalty_duke_roman;Vicarius;;;;;;;;;x 
vice_royalty_duke_female_roman;Vicaria;;;;;;;;;x 
vice_royalty_duchy_of_roman;Province of;;;;;;;;;x 
vice_royalty_king_roman;Exarch;;;;;;;;;x 
vice_royalty_king_female_roman;Exarchessa;;;;;;;;;x 
vice_royalty_kingdom_of_roman;Exarchate of;;;;;;;;;x 
reorganize_varangian_guard;Re-organise the Varangian Guard;;;;;;;;;x 
reorganize_varangian_guard_desc;Re-create the Varangian Guard under $FIRST_ADJ$ control.;;;;;;;;;x 
request_papal_support;Request Papal Support;;;;;;;;;x 
request_papal_support_desc;Request military support from the Papacy.;;;;;;;;;x 
request_papal_support2;Request Papal Support;;;;;;;;;x 
request_papal_support2_desc;Request military support from the Papacy.;;;;;;;;;x 
request_papal_support3;Request Papal Support;;;;;;;;;x 
request_papal_support3_desc;Request military support from the Papacy.;;;;;;;;;x 
papal_support;A letter is sent to [ThePope.GetTitledFirstName].;;;;;;;;;x 
EVTDESCPA.10093;The Pope has sent a messenger with a declaration of support for our realm. A crusader army will arrive within the next few months.;;;;;;;;;x 
EVTDESCPA.10094;The promised troops have finally arrived from the west. They have set up in the capital and are awaiting your orders.;;;;;;;;;x 
EVTDESCPA.10095;The Pope has sent a messenger with a declaration of support for our realm. A crusader army will arrive within the next few months.;;;;;;;;;x 
EVTDESCPA.10096;The promised troops have finally arrived from the west. They have set up in the capital and are awaiting your orders.;;;;;;;;;x 
EVTDESCPA.10097;The Pope has sent a messenger with a declaration of support for our realm. A crusader army will arrive within the next few months.;;;;;;;;;x 
EVTDESCPA.10098;The promised troops have finally arrived from the west. They have set up in the capital and are awaiting your orders.;;;;;;;;;x 
reform_the_byzantine_empire;Reform the Byzantine Empire;;;;;;;;;x 
reform_the_byzantine_empire_desc;The glorious Byzantine Empire is gone, but as long as there are Greeks in Constantinople, there is hope of resurrection.;;;;;;;;;x 
tribal_county_of_irish;Túath of;;;;;;;;;x 
tribal_count_irish;Tiarna;;;;;;;;;x 
tribal_count_female_irish;Bhean;;;;;;;;;x 
king_female_west_african;Queen;;;;;;;;;x 
count_east_african;Chief;;;;;;;;;x 
count_female_east_african;Chieftess;;;;;;;;;x 
county_of_east_african;Chiefdom of;;;;;;;;;x 
tribal_count_east_african;Chief;;;;;;;;;x 
tribal_count_female_east_african;Chieftess;;;;;;;;;x 
tribal_county_of_east_african;Chiefdom of;;;;;;;;;x 
tribal_king_east_slavic;Grand Prince;;;;;;;;;x 
tribal_king_female_east_slavic;Grand Princess;;;;;;;;;x 
tribal_kingdom_of_east_slavic;Grand Principality of;;;;;;;;;x 
tribal_duke_east_slavic;Prince;;;;;;;;;x 
tribal_duke_female_east_slavic;Princess;;;;;;;;;x 
tribal_duchy_of_east_slavic;Principality of;;;;;;;;;x 
tribal_king_hungarian;Grand Prince;;;;;;;;;x 
tribal_king_female_hungarian;Grand Princess;;;;;;;;;x 
tribal_kingdom_of_hungarian;Grand Principality of;;;;;;;;;x 
EVTDESCPA.10099;For a long time we have been pressured by the infidels around us to convert to their religions. The Orthodox and Muslim states are powerful, but we also have a large community of Jews. Should we stick to the old ways, or abandon them for those of our neighbours?;;;;;;;;;x 
ecumenical_patriarchate_restored;The Ecumenical Patriarchate is restored!;;;;;;;;;x 
e_khazaria;Khazaria;;;;;;;;;x 
e_khazaria_adj;Khazarian;;;;;;;;;x 
k_muscovy;Muscovy;;;;;;;;;x 
k_muscovy_adj;Muscovian;;;;;;;;;x 
k_novgorod;Novgorod;;;;;;;;;x 
k_novgorod_adj;Novgorodian;;;;;;;;;x 
k_kiev;Kiev;;;;;;;;;x 
k_kiev_adj;Kievan;;;;;;;;;x 
k_smolensk;Smolensk;;;;;;;;;x 
k_smolensk_adj;Smolenskan;;;;;;;;;x
hellenic_pagan;Hellenic;;;;;;;;;x 
hellenic_pagan_DESC;The Hellenic religion is polytheistic, with a pantheon of twelve major gods including Jupiter, Mars, Mercury, Venus, Minerva and Vesta. It originated in ancient Greece and with the conquests of Alexander the Great and the rise of the Roman Empire, it would go on to become the dominant religion in the Mediterranean world until the rise of Christendom. \n§Y*§! Emperors can appoint a Religious Head\n§Y*§! Rulers cannot declare Subjugation wars;;;;;;;;;x 
GOD_JUPITER;Jupiter;;;;;;;;;x 
GOD_MERCURY;Mercury;;;;;;;;;x 
GOD_MARS;Mars;;;;;;;;;x 
GOD_VENUS;Venus;;;;;;;;;x 
GOD_MINERVA;Minerva;;;;;;;;;x 
GOD_VESTA;Vesta;;;;;;;;;x 
GOD_JUNO;Juno;;;;;;;;;x 
GOD_VULCAN;Vulcan;;;;;;;;;x 
GOD_DIANA;Diana;;;;;;;;;x 
GOD_SATURN;Saturn;;;;;;;;;x 
GOD_NEPTUNE;Neptune;;;;;;;;;x 
GOD_CERES;Ceres;;;;;;;;;x 
GOD_PLUTO;Pluto;;;;;;;;;x 
job_spiritual_hellenic_pagan;Diviner;;;;;;;;;x 
temple_count_hellenic_pagan;Priest;;;;;;;;;x 
temple_count_female_hellenic_pagan;Priestess;;;;;;;;;x 
temple_duke_hellenic_pagan;High Priest;;;;;;;;;x 
temple_duke_female_hellenic_pagan;High Priestess;;;;;;;;;x 
temple_king_hellenic_pagan;Hierophant;;;;;;;;;x 
temple_king_female_hellenic_pagan;Hierophant;;;;;;;;;x 
temple_emperor_hellenic_pagan;Protoiereus;;;;;;;;;x 
temple_emperor_female_hellenic_pagan;Protoiereia;;;;;;;;;x 
d_imperial_fleet;Imperial Fleet;;;;;;;;;x 
d_imperial_fleet2;Imperial Fleet;;;;;;;;;x 
d_imperial_fleet3;Imperial Fleet;;;;;;;;;x 
convert_to_spouse_hellenic;Convert to Hellenic;;;;;;;;;x 
convert_to_spouse_hellenic_desc;The pillow talk of a spouse or concubine can be very persuasive. These Hellenic gods don't sound very nice though...;;;;;;;;;x 
job_spiritual_pagan_group;Diviner;;;;;;;;;x 
count_norse_pagan;Chief;;;;;;;;;x 
count_norse_pagan_reformed;Chief;;;;;;;;;x 
count_tengri_pagan;Chief;;;;;;;;;x 
count_tengri_pagan_reformed;Chief;;;;;;;;;x 
count_baltic_pagan;Chief;;;;;;;;;x 
count_baltic_pagan_reformed;Chief;;;;;;;;;x 
count_finnish_pagan;Chief;;;;;;;;;x 
count_finnish_pagan_reformed;Chief;;;;;;;;;x 
count_slavic_pagan;Chief;;;;;;;;;x 
count_slavic_pagan_reformed;Chief;;;;;;;;;x 
count_west_african_pagan;Chief;;;;;;;;;x 
count_west_african_pagan_reformed;Chief;;;;;;;;;x 
count_female_norse_pagan;Chieftess;;;;;;;;;x 
count_female_norse_pagan_reformed;Chieftess;;;;;;;;;x 
count_female_tengri_pagan;Chieftess;;;;;;;;;x 
count_female_tengri_pagan_reformed;Chieftess;;;;;;;;;x 
count_female_baltic_pagan;Chieftess;;;;;;;;;x 
count_female_baltic_pagan_reformed;Chieftess;;;;;;;;;x 
count_female_finnish_pagan;Chieftess;;;;;;;;;x 
count_female_finnish_pagan_reformed;Chieftess;;;;;;;;;x 
count_female_slavic_pagan;Chieftess;;;;;;;;;x 
count_female_slavic_pagan_reformed;Chieftess;;;;;;;;;x 
count_female_west_african_pagan;Chieftess;;;;;;;;;x 
count_female_west_african_pagan_reformed;Chieftess;;;;;;;;;x 
temple_baron_norse_pagan;Godi;;;;;;;;;x 
temple_baron_norse_pagan_reformed;Godi;;;;;;;;;x 
temple_baron_tengri_pagan;Shaman;;;;;;;;;x 
temple_baron_tengri_pagan_reformed;Shaman;;;;;;;;;x 
temple_baron_baltic_pagan;Shaman;;;;;;;;;x 
temple_baron_baltic_pagan_reformed;Shaman;;;;;;;;;x 
temple_baron_finnish_pagan;Shaman;;;;;;;;;x 
temple_baron_finnish_pagan_reformed;Shaman;;;;;;;;;x 
temple_baron_aztec;Shaman;;;;;;;;;x 
temple_baron_aztec_reformed;Shaman;;;;;;;;;x 
temple_baron_slavic_pagan;Shaman;;;;;;;;;x 
temple_baron_slavic_pagan_reformed;Shaman;;;;;;;;;x 
temple_baron_west_african_pagan;Shaman;;;;;;;;;x 
temple_baron_west_african_pagan_reformed;Shaman;;;;;;;;;x 
job_spiritual_west_african_pagan;Diviner;;;;;;;;;x 
job_spiritual_west_african_pagan_reformed;Diviner;;;;;;;;;x 
baron_norse_pagan;Hetman;;;;;;;;;x 
baron_norse_pagan_reformed;Hetman;;;;;;;;;x 
baron_tengri_pagan;Hetman;;;;;;;;;x 
baron_tengri_pagan_reformed;Hetman;;;;;;;;;x 
baron_baltic_pagan;Hetman;;;;;;;;;x 
baron_baltic_pagan_reformed;Hetman;;;;;;;;;x 
baron_finnish_pagan;Hetman;;;;;;;;;x 
baron_finnish_pagan_reformed;Hetman;;;;;;;;;x 
baron_slavic_pagan;Hetman;;;;;;;;;x 
baron_slavic_pagan_reformed;Hetman;;;;;;;;;x 
baron_west_african_pagan;Elder;;;;;;;;;x 
baron_west_african_pagan_reformed;Elder;;;;;;;;;x 
reform_imperial_fleet;Reform the Imperial Fleet;;;;;;;;;x 
reform_imperial_fleet_desc;Restore the Imperial Fleet to its former glory.;;;;;;;;;x 
reform_imperial_fleet2;Reform the Imperial Fleet;;;;;;;;;x 
reform_imperial_fleet2_desc;Restore the Imperial Fleet to its former glory.;;;;;;;;;x 
reform_imperial_fleet3;Reform the Imperial Fleet;;;;;;;;;x 
reform_imperial_fleet3_desc;Restore the Imperial Fleet to its former glory.;;;;;;;;;x 
EVTNAMEPA.10103;The Cavern;;;;;;;;;x 
EVTDESCPA.10103;A team of construction workers accidentally tunnelled into the ruins of an ancient pagan temple during the renovation of Rome's sewer system. The cavern they came across is filled with ancient pagan idols and contains a library full of preserved tomes. A large eagle adorns the top of the cavern, and a statue of a wolf stands near the caverns original entrance, now bricked up. It is likely this area was sealed off after Emperor Constantine's conversion to protect Rome's pagan artefacts. You speak the language of the Romans, but you do not worship their gods. What shall you do, if anything?;;;;;;;;;x 
EVTNAMEPA.10104;The Philosopher;;;;;;;;;x 
EVTDESCPA.10104;With the [From.PrimaryTitle.GetName] at death's door, some philosophers are advocating we return to the worship of the old gods. They argue that Christianity has failed and only the gods of old can save us. They haven't gotten much support outside of their academies but the prospect of reviving the Hellenic religion is tantalising to some. The people will likely revolt if you abandon Christianity, but what do they know? As the rightful [Root.GetTitle], this decision is yours.;;;;;;;;;x 
yazidi_DESC;The Yazidi religion is a syncretic faith with roots in Christianity, Islam, Zoroastrianism and Mithrasism. It is properly a distinct religion but is treated as a Zoroastrian (Mazdan) heresy in-game. Yazidis believe that God created the world and left seven angels in charge, the chief of whom is the Peacock Angel, who is also known as Malek Taus or Shaytan, a being usually identified by Christians and Muslims as Satan.;;;;;;;;;x 
city_duke_greek;Anthypatos;;;;;;;;;x 
city_king_greek;Hypatos;;;;;;;;;x 
city_emperor_greek;Prinkeps;;;;;;;;;x 
k_golden_horde;Golden Horde;;;;;;;;;x 
k_golden_horde_adj;Mongol;;;;;;;;;x 
k_il-khanate;Ilkhanate;;;;;;;;;x 
k_il-khanate_adj;Mongol;;;;;;;;;x 
k_ottoman;Ottoman;;;;;;;;;x 
k_ottoman_adj;Ottoman;;;;;;;;;x 
k_achaia;Achaia;;;;;;;;;x 
k_achaia_adj;Achaian;;;;;;;;;x 
k_morea;Morea;;;;;;;;;x 
k_morea_adj;Morean;;;;;;;;;x 
k_austria;Austria;;;;;;;;;x 
k_austria_adj;Austrian;;;;;;;;;x 
k_kievan_rus;Kievan Rus;;;;;;;;;x 
k_kievan_rus_adj;Kievan Rus;;;;;;;;;x 
e_thessalonika;Thessalonika;;;;;;;;;x 
e_thessalonika_adj;Thessalonikan;;;;;;;;;x 
d_arsiyah;Arsiyah Guard;;;;;;;;;x 
d_arsiyah_adj;Arsiyah;;;;;;;;;x 
d_kheshig;Imperial Kheshig;;;;;;;;;x 
d_kheshig_adj;Kheshig;;;;;;;;;x 
d_heroes;Heroes of Olympus;;;;;;;;;x 
d_heroes;Heroes;;;;;;;;;x 
d_hellenic_pagan;The Hellenic Church;;;;;;;;;x 
d_hellenic_Pagan_adj;Hellenic;;;;;;;;;x 
empress_iranian;Shahbanu;;;;;;;;;x 
title_patrikos;Patrikos;;;;;;;;;x 
title_patrikos_desc;Although no longer as prestigious as it was during the times of Justinian, the title of Patrikos still ranks high in Byzantine society.;;;;;;;;;x 
tp_thirdtemple;Third Temple;;;;;;;;;x 
tp_thirdtemple_desc;The temple was rebuilt after the re-creation of Israel. It is the heart of the Jewish faith and the holiest site in the Jewish religion.;;;;;;;;;x 
tp_irminsul;Irminsul;;;;;;;;;x 
tp_irminsul_desc;The Saxon equivalent of the Norse "life tree" - the Irminsul is a shrine to the various gods of the Germanic faith, particularly Wodan (Odin).;;;;;;;;;x 
tp_irminsul2;Irminsul;;;;;;;;;x 
tp_irminsul2_desc;The Saxon equivalent of the Norse "life tree" - the Irminsul is a shrine to the various gods of the Germanic faith, particularly Wodan (Odin).;;;;;;;;;x 
theme_system;Theme System;;;;;;;;;x 
theme_system_desc;The theme system was a network of hybrid civil-military provinces that existed in Byzantium from the the 7th to the 11th centuries. Soldiers who served in the themes acted as levies, with the Emperor's personal troops guarding Constantinople and forming the core of the Imperial army.;;;;;;;;;x 
inactive_theme_system;Inactive Themes;;;;;;;;;x 
degraded_theme_system;Degraded Themes;;;;;;;;;x 
active_theme_system;Active Themes;;;;;;;;;x 
inactive_theme_system_desc;The theme system has collapsed, giving penalties to levy numbers.;;;;;;;;;x 
degraded_theme_system_desc;The theme system has degraded, giving no bonuses to levy numbers.;;;;;;;;;x 
active_theme_system_desc;The theme system is fully active, giving bonuses to levy numbers.;;;;;;;;;x 
EVTNAMEPA.10111;The Norman Conquest;;;;;;;;;x 
EVTDESCPA.10111;The Normans have steadily advanced into southern Italy since their conquest of Aversa in 1029. An invasion of Capua in 1038 was followed by a war with Byzantium from 1041 to 1046, which seen the loss of Calabria. As a precursor to his planned conquest of Muslim Sicily, Duke Robert Guiscard laid siege to Bari and Brindisi in 1068. The Byzantine army was unable to defeat Robert, and Apulia fell into his hands in 1071, ending the Byzantine presence in Italy. With Byzantium engaged with the Seljuks in Armenia and Anatolia, you have the opportunity to invade Apulia.;;;;;;;;;x 
EVTNAMEPA.10123;Peacock's Feathers;;;;;;;;;x 
EVTDESCPA.10123;You sit alone in your room, quietly studying scripture, when one of your guards burts in without warning. You quickly grab the knife you keep hidden on your person, expecting some sort of trouble, until one of your advisers enters the room. You listen to the man, who explains that a miracle has happened, and that you are needed in the throne room at once. You get dressed quickly and follow your advisor to the throne room, which is packed with courtiers. Before you can demand an explanation, one of your guards points to your throne. As you move towards your throne you notice a glowing feather lying in front of it, one of the symbols of the Peacock Angel. Your courtiers bow as you pick it up, the feather's glow intensifying as you hold it in your hands.;;;;;;;;;x 
peacocks_feather;Peacock's Feather;;;;;;;;;x 
hold_tawusgeran;Observe Tawusgeran;;;;;;;;;x 
hold_tawusgeran_desc;Hold a Tawusgeran festival.;;;;;;;;;x 
EVTDESCPA.10124;The sacred images are paraded around the nearby villages by the priests. These images are made of brass, and symbolise Tawuse Melek, the Peacock Angel. Holy water is also distributed and taxes are collected from the pious in the name of [Root.Religion.GetRandomGodName].;;;;;;;;;x 
EVTDESCPA.10125;With the sacred images taken back to their resting place, it is time to celebrate! Invitations have gone out to your vassals asking them to join you for a grand feast honouring [Root.Religion.GetRandomGodName]. You have decided to make this years feast a special one, remembered by both spirits and men for years to come.;;;;;;;;;x 
EVTTOOLTIPPA_10227;The invitations to the Tawusgeran celebration are sent.;;;;;;;;;x 
EVTDESCPA.10127;[From.GetTitledFirstName], your liege, has invited you to join [From.GetHerHim] for this years Tawusgeran feast. There you will celebrate the blessings of the sacred images and pay tribute to the Peacock Angel, the leader of God's seven archangels.;;;;;;;;;x 
EVTDESCPA.10128;[From.GetTitledFirstName] has declined your invitation to attend the Tawusgeran feast! Apparently [From.GetSheHe] has no faith in Melek Taus and the other angels, and instead follows the strange rituals of some other religion that is foreign to our ways.;;;;;;;;;x 
EVTDESCPA.10129;Your vassals have arrived and the time of the Tawusgeran feast is upon us. Bulls and oxen are sacrificed to honour the Peacock Angel, sermons are preached by the priests, and guests are blessed with holy water.;;;;;;;;;x 
EVTDESCPA.10130;At last, the time of the Tawusgeran feast is upon us. Bulls and oxen are sacrificed to honour the Peacock Angel, sermons are preached by the priests, and guests are blessed with holy water.;;;;;;;;;x 
EVTDESCPA.10131;With mass ended and sacrifices made, you gather together with your vassals for the great feast your servants have prepared!;;;;;;;;;x 
EVTDESCPA.10132;With mass ended and sacrifices made, you gather together with your liege and the rest of [From.GetHerHis] vassals for the great feast [From.GetSheHe] has prepared!;;;;;;;;;x 
