#CODE;ENGLISH;;;;;;;;;x 
opinion_hajj_promised;Promised to go on Hajj.;;;;;;;;;x 
EVTDESC100555;My advice to [From.GetTitledFirstName] was very simple: just pay the [From.Religion.GetName] imams and they'll stop pestering you for, oh perhaps a few weeks? Though I could have shared this for free I decided to test how much [From.GetTitledFirstName] wanted to be left alone by the [From.Religion.GetName] imams and demanded money for the advice.;;;;;;;;;x 
EVTDESC1632;I find religion fascinating, especially when the Qur'an talk of heathens and infidels, and how they shall be struck down!;;;;;;;;;x 
EVTDESC2132;My little [GetFromRelation] [From.GetTitledFirstName] always has [From.GetHerHis] nose in the Qur'an, and spends all [From.GetHerHis] time among the imams.;;;;;;;;;x 
EVTDESC1732;People are naive fools, laughing, dancing and nodding like puppets to the false tune played by imams. Charlatans all!;;;;;;;;;x 
EVTDESC1733;The imam's admonishment bored me to tears, then he told my [GetFromRelation] about my cynicism. [From.GetSubjectPronounCap] tried beating it out of me...;;;;;;;;;x 
EVTDESC3010;I was shamefully caught in action with a beautiful servant today by [Root.GetLordSpiritualName] [Root.job_spiritual.GetBestName]. [Root.job_spiritual.GetSheHeCap] scolded me and lectured me in the virtues of chastity.;;;;;;;;;x 
EVTOPTA3010;I wish I could ignore [Root.job_spiritual.GetHerHim];;;;;;;;;x 
EVTDESC3371;I told the imam about my ambitions and asked if there were anything he could do to help me.;;;;;;;;;x 
EVTDESC3456;I expressed my views on the whole religion and 'Allah' thing a bit too loud and got into a lot of trouble with an imam because of it.;;;;;;;;;x 
EVTOPTA3456;Allah is dead!;;;;;;;;;x 
EVTDESC4041;The imam accused a couple of villagers of blasphemy after he heard them take Allah's name in vain. The blacksmith did it when he hit his thumb with the hammer, the stablemaster when a horse kicked him and the cook when a rat fell into the stew.;;;;;;;;;x 
EVTDESC5026;My subjects does not like the new impaling punishment and, led by the imams, show their umbrage by throwing rotten vegetables at me!;;;;;;;;;x 
EVTOPTA5026;Vegetables won't stop me!;;;;;;;;;x 
EVTDESC6030_MUS;I am speaking in tongues, screaming obscenities at random times, most often when the imam is talking and am sometimes lying on the ground writhing in apparent pain. I seldom remember these things and people believe me to be possessed.;;;;;;;;;x 
EVTOPTA6030_MUS;Begone, foul djinn!;;;;;;;;;x 
EVTDESC6031_MUS;By reciting The Throne Verse from the Qur'an and invoking Allah's help the imam managed to repair the damage in me caused by sihr or witchcraft. To be on the safe side, we also recited together the three last suras from the Qur'an: Surat al-Ikhlas (The Fidelity), Surat al-Falaq (The Dawn) and Surat al-Nas (Mankind).;;;;;;;;;x 
EVTOPTA6031_ALL;Once again, to be on the safe side...;;;;;;;;;x 
EVTDESC1002;The cook had prepared a magnificent meal, with lots of different fruits, various kinds of meat, plenty of freshly baked bread and several mature cheeses.;;;;;;;;;x 
EVTOPTB3553;[Root.Religion.GetRandomGodNameCap] help me! I do have a problem!;;;;;;;;;x 
EVTOPTB36051;Thank [Root.Religion.GetRandomGodName] for [From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA6082;May [Root.Religion.GetRandomGodName] have mercy on us!;;;;;;;;;x 
EVTDESC1920;Serving [Root.Religion.GetRandomGodName] should be our goal in life. How can I do it the best way?;;;;;;;;;x 
EVTOPTD38233;Only Allah decides over life and death;;;;;;;;;x 
EVTOPTB3243;Thank [Root.Religion.GetRandomGodName] for [Root.GetMarshalName] [Root.job_marshal.GetTitledFirstName];;;;;;;;;x 
EVTOPTA3245;Reward my [Root.GetChancellorName]!;;;;;;;;;x 
EVTOPTB3245;Thank [Root.Religion.GetRandomGodName] for [Root.GetChancellorName] [Root.job_chancellor.GetTitledFirstName];;;;;;;;;x 
EVTOPTA3246;Reward my [Root.GetSpymasterName]!;;;;;;;;;x 
EVTOPTB3246;Thank [Root.Religion.GetRandomGodName] for [Root.GetSpymasterName] [Root.job_spymaster.GetTitledFirstName];;;;;;;;;x 
EVTOPTA3247;Reward my [Root.GetLordSpiritualName]!;;;;;;;;;x 
EVTOPTB3247;Thank [Root.Religion.GetRandomGodName] for [Root.GetLordSpiritualName] [Root.job_spiritual.GetTitledFirstName];;;;;;;;;x 
EVTOPTB68001;Allah is merciful!;;;;;;;;;x 
EVTOPTC20021;I thank Allah for saving me;;;;;;;;;x 
EVTOPTB20030;I am a faithful Muslim, I won't put up with this!;;;;;;;;;x 
EVTDESC20032;My [Root.GetTitle], word has reached me that your [Root.GetLordSpiritualName] has accused me of heresy! I implore you, as a devout [Root.Religion.GetName] to another devout [Root.Religion.GetName] to believe me when I tell you I am not a heretic!\n\nYour humble [From.GetTitle],\n[From.GetTitledName];;;;;;;;;x 
EVTOPTB20033;Allah be praised!;;;;;;;;;x 
EVTDESC20034;My [Root.GetLordSpiritualName], after investigating the heretic further I can assure you that [FromFrom.GetTitledFirstName] is a devout [FromFrom.Religion.GetName]. If this mistake recur I will not be as understanding. Make sure the heretic really is a heretic before you falsely accuse anyone.\n]\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA20211;I thank [Root.Religion.GetRandomGodName] for saving me!;;;;;;;;;x 
EVTOPTA63020;Thank [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTDESC8000;For far too long you have blocked my righteous right to [From.GetPlot]. Recognize my rightful claim and step down peacefully or meet me sword in hand. Rest assure that I have enough supporters to obtain this either way...\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC72039;Both [From.GetTitledFirstName] and [FromFrom.GetTitledFirstName] reentered my castle without any visible wounds. It seemed as if [From.GetTitledFirstName] had refused to duel [FromFrom.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA72039;That was sensible of [From.GetHerHim]...;;;;;;;;;x 
EVTDESC5023;'Atone for thy sins!'\n\nMy subjects do not like the new impaling punishment and, led by the [Root.Religion.GetPriestTitle]s, show their umbrage by throwing rotten vegetables at me!;;;;;;;;;x 
EVTDESC73001;My young wife has taken a passion for romantic poetry. She keeps reading any sort of romantic poetry she can get hold of.;;;;;;;;;x 
EVTOPTA73001;Get her more to read;;;;;;;;;x 
EVTOPTD73001;These are books created by Shaytan!;;;;;;;;;x 
EVTOPTD64140;I will resist Shaytan's temptations!;;;;;;;;;x 
EVTDESC20172;My lord, your [Root.GetChancellorName] [FromFrom.GetTitledName] tried to encourage me to turn against my liege [From.Liege.GetTitledName]! This shameless act can not go unpunished and to stop further interference I have thus decided to imprison your [Root.GetChancellorName] for an indefinite period of time.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA20172;Outrageous!;;;;;;;;;x 
EVTOPTB72004;Let the guests suffer!;;;;;;;;;x 
EVTOPTC3126;May Allah have mercy on my soul;;;;;;;;;x 
EVTOPTA3547;Oh no! A history lesson!;;;;;;;;;x 
EVTOPTC38100;Ask my guardian about Allah;;;;;;;;;x 
EVTTOOLTIPA38101;[Root.Guardian.GetTitledFirstName] is questioned about Allah;;;;;;;;;x 
EVTOPTD38211;It is all part of Allah's plan;;;;;;;;;x 
EVTOPTD38227;Give the money to the poor and Allah will see your goodness;;;;;;;;;x 
EVTOPTC64090;Ask for Allah's help with our childless marriage;;;;;;;;;x 
EVTDESC91000;The excesses of the [Root.GetOnlyDynastyName] Dynasty have gone too far. A dynamic warrior clan has taken up arms and is riding to purify the realm of our decadence!;;;;;;;;;x 
EVTOPTA91000;Allah be Merciful!;;;;;;;;;x 
INTER_MUSLIM_WAR_PIETY_PENALTY;Attacking fellow $RELIGION$: §R$VALUE$§!;;;;;;;;;x 
MUSLIM_TEMPLE_HOLDING_PIETY;§Y$NUM$§! Mosques in Demesne: §G+$VALUE$§!;;;;;;;;;x 
DECLARE_WAR_INTERACTION_5;§RWhile attacking a fellow [Recipient.Religion.GetName] [Recipient.Religion.GetGroupName], we will lose §Y$PIETY$§R Piety per month!§!;;;;;;;;;x 
go_on_hajj;Go on Hajj to Mecca;;;;;;;;;x 
go_on_hajj_desc;Going on a pilgrimage to Mecca is one of the pillars of Islam, and this is something every able-bodied Muslim is expected to do once in his life. Decadent characters will get rid of the trait.;;;;;;;;;x 
sadaqah_saddka;Sadaqah: Give a voluntary charity to extinguish my sins;;;;;;;;;x 
sadaqah_saddka_desc;I will give voluntarily of my wealth and hope Allah and the Caliph will hear of my piety;;;;;;;;;x 
sadaqah_voluntary_charity;The Caliph will hear of my charity, my sins will be forgiven and my piety increased;;;;;;;;;x 
EVTDESC31000;The sadaqah, the voluntarily charity [From.GetTitledFirstName] so generously have given to the poor to help eliminate inequality and help those who have less than [From.GetSheHe] is commendable!;;;;;;;;;x 
EVTOPTA31000;Allah will forgive [From.GetTitledFirstName]'s sins;;;;;;;;;x 
EVTTOOLTIP31001;will hear of [Root.GetTitledFirstName]'s praise;;;;;;;;;x 
EVTDESC31001;The [Root.Religion.GetName] [From.GetTitledFirstName] has heard of me giving Sadaqah, and sends [From.GetHerHis] blessings!;;;;;;;;;x 
EVTOPTA31001;I am deeply honored...;;;;;;;;;x 
EVTDESC1060;The glance was intentional lascivious and the [Root.GetManWomanOpp] did not hide [Root.GetHerHisOpp] appreciation, nor hide [Root.GetHerHisOpp] lustful thoughts and invited me to join [Root.GetHerHimOpp]...;;;;;;;;;x 
EVTOPTA1060;Follow [Root.GetHerHimOpp] to [Root.GetHerHisOpp] chambers...;;;;;;;;;x 
EVTOPTB1060;It is forbidden!;;;;;;;;;x 
EVTDESC5070;The pleasures of life, or the pleasures of the after-life? Everything one longs for in this world, will be there in the Garden, Jannah. But life shouldn't be dull, without flavour or pleasures! This is a true dilemma...;;;;;;;;;x 
EVTOPTA5070;I live life in the moment;;;;;;;;;x 
EVTOPTB5070;Find true beauty and pleasure through poetry instead;;;;;;;;;x 
EVTDESC5071;An abundance of food, wine and good company, the hedonism lifestyle seems to make me forget the grey world outside and I indulge in everything...;;;;;;;;;x 
EVTOPTA5071;...but I feel empty inside, there's no creativity in hedonism;;;;;;;;;x 
EVTOPTB5071;This is the life for me!;;;;;;;;;x 
EVTTOOLTIP5073;has decided what [Root.GetHerHis] lifestyle will be;;;;;;;;;x 
EVTOPTC5071;I have had enough, hedonism is not the lifestyle for me;;;;;;;;;x 
EVTDESC5072;There's inspiration to get from everything, from the breakfast I devour to the sight of sunlight illuminating the flowers in my garden, from the works of Imru' al-Qais or The Story of Bayad and Riyad.;;;;;;;;;x 
EVTOPTA5072;I have tired of this! Let me enjoy the pleasures of life instead;;;;;;;;;x 
EVTOPTB5072;I have found my calling;;;;;;;;;x 
EVTTOOLTIP5074;Poetry speaks to [Root.GetTitledFirstName] as nothing else has done before;;;;;;;;;x 
EVTOPTC5072;Poetry is nice, but perhaps I will find something better;;;;;;;;;x 
EVTDESC5073;It is the most important decision in my life. I truly enjoy all the pleasure hedonism brings me and its rules, to only do what pleasures you the most, is one I gladly follow.;;;;;;;;;x 
EVTOPTA5073;I am a hedonist;;;;;;;;;x 
EVTOPTB5073;Hedonism is not a lifestyle I seek to pursue for ever...;;;;;;;;;x 
EVTDESC5074;The poetic lifestyle awaits me, if I truly believe it is the one lifestyle for me. I have learnt more about my people's traditions, life and culture by immersing myself in reading and writing poetry.;;;;;;;;;x 
EVTOPTA5074;I am a poet!;;;;;;;;;x 
EVTOPTB5074;Poetry is not a lifestyle I seek to pursue for ever...;;;;;;;;;x 
EVTDESC5047;We started early, when the sun had barely risen above the horizon. Game was plentiful, no hunter returned without a hare or fowl tied to their saddle.;;;;;;;;;x 
EVTDESC3264;I am not the most martial of rulers and sometimes it appears as if I am almost incompetent when it comes to handling the sword. Luckily, I know how to manipulate people...;;;;;;;;;x 
EVTOPTC38229;This will turn [From.GetHerHim] into a great master of the sword!;;;;;;;;;x 
EVTDESC100005;Whenever we play, me in the middle most times, there's one child who instead of joining us laughing as loud and as much as we do goes away to read under the shadow of a tree or near the flaming fireplace. Why read dusty, boring old books when you could play with swords or dolls or catch frogs in the pond?;;;;;;;;;x 
EVTDESC38269;Following [Root.Religion.GetRandomGodName]'s will is more important than anything else. I have gained the Zealous trait.;;;;;;;;;x 
EVTDESC2120;I caught my [GetFromRelation], [From.GetFirstName] lying to me again, straight to my face without batting an eye. I almost had an innocent servant sent to the stocks!;;;;;;;;;x 
EVTOPTE38233;[From.GetTitledFirstName] will be well soon, there's no need for a doctor!;;;;;;;;;x 
EVTDESC20040;Due to your recent charity work on behalf of [Root.Liege.GetTitledFirstName], one of [Root.Liege.GetHerHis] vassals has become impressed with [Root.Liege.GetHerHis] great generosity.;;;;;;;;;x 
EVTOPTA20040;Excellent.;;;;;;;;;x 
EVTDESC20041;The [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName] has been performing charity in [From.Location.GetName], donating alms and food to those in need. The local peasants have benefitted greatly from the [From.Host.GetTitle]'s generosity.;;;;;;;;;x 
EVTOPTA20041;Perhaps there is still some good in this world.;;;;;;;;;x 
EVTDESC20042;Your [FromFrom.GetJobTitle], [FromFrom.GetTitledName], reports that [From.GetTitledName] has been humbled by your endless generosity to the poor in [From.Location.GetName]. The peasants are singing your name!;;;;;;;;;x 
EVTOPTA20042;A job well done!;;;;;;;;;x 
EVTDESC20043;It seems your selfless charity work in [Root.Location.GetName] has attracted a little too much attention. Before you know it, you are surrounded by a huge crowd of hungry and desperate beggars who claw at your robes, pleading for food.;;;;;;;;;x 
EVTOPTA20043;By the Prophet, let me through!;;;;;;;;;x 
EVTDESC20044;Before the beggars have a chance to completely envelop you, you cut a swath through the crowd by madly swinging your staff around. You manage to land several solid blows on an old woman with your staff, knocking her few remaining teeth out, and an expertly aimed kick at a malnourished farmer leaves him with a broken nose. The crowd scatters.;;;;;;;;;x 
EVTOPTA20044;Well, I was told to give generously to the people...;;;;;;;;;x 
EVTDESC20045;When you finally emerge into daylight again after pushing your way through the desperate crowd, you do so covered in bruises and with your robe in tatters.;;;;;;;;;x 
EVTOPTA20045;They could have killed me!;;;;;;;;;x 
EVTDESC20046;Your [From.GetJobTitle], [From.GetTitledName], was cornered by a desperate crowd of beggars in [From.Location.GetName] and has been seriously wounded while giving alms to the poor in your name. Charity can be dangerous work.;;;;;;;;;x 
EVTOPTA20046;So it would seem.;;;;;;;;;x 
EVTDESC20047;Your [From.GetJobTitle], [From.GetTitledName], who was performing charity work in your name, made the ultimate sacrifice when he was cornered by a desperate crowd of beggars in [From.Location.GetName] and trampled to death.;;;;;;;;;x 
EVTOPTA20047;Ingrates!;;;;;;;;;x 
EVTDESC70041;As I draw my last breath I remember the tournament. Alas, my death will set stop for the festivities and I grieve for myself, to think I will never be allowed to see brave knights fight for glory!;;;;;;;;;x 
EVTOPTA70041;I hope my subjects will remember me as a benevolent ruler;;;;;;;;;x 
EVTTOOLTIP70042;Your vassals will be informed of your untimely death;;;;;;;;;x 
EVTDESC70042;Dear [Root.GetTitledFirstName], due to [From.GetTitledFirstName]'s untimely death the tournament unfortunately has been cancelled.\n\nSigned, \n[Root.Liege.GetTitledFirstName];;;;;;;;;x 
EVTOPTA70042;And I had so looked forward to this!;;;;;;;;;x 
EVTDESC3656;The storyteller told the tale about the Wild Hunt. The story gave me shivers but the drink made me brave, so instead of sleeping in the tavern I made my way to the castle. I regretted it when the black, huge and hideous huntsmen riding on black horses, with black dogs by their side started chasing me. I screamed and ran for my life, until I heard the huntsmen break out in laughter.;;;;;;;;;x 
EVTDESC20048;So much of your master's wealth has been squandered on ungrateful and undeserving beggars, but what of you? Have you not toiled enough to improve the lot of thieves and the depraved? Perhaps it would be best if some of that wealth found its way into your own pockets...;;;;;;;;;x 
EVTOPTA20048;Yes, it would only be right.;;;;;;;;;x 
EVTOPTB20048;No, I must not forget my duties.;;;;;;;;;x 
EVTDESC20049;Word has reached you that your [From.GetJobTitle], [From.GetTitledName], has given in to weakness and helped [From.GetHerselfHimself] to the alms [From.GetSheHe] was meant to distribute amongst the poor.;;;;;;;;;x 
EVTOPTA20049;Return the gold and all may be forgiven.;;;;;;;;;x 
EVTOPTB20049;Off to the dungeons with [From.GetHerHim]!;;;;;;;;;x 
action_charity;Perform Charity;;;;;;;;;x 
action_charity_desc;Send your [GetLordSpiritualName] to perform charity in a province, helping those in need.;;;;;;;;;x 
EVTNAME20040;Vassal Impressed;;;;;;;;;x 
#EVTNAME20043;[Root.Liege.GetLordSpiritualName] is Trampled by Mob;;;;;;;;;x 
#EVTNAME20048;[Root.Liege.GetLordSpiritualName] Pockets Charity Money;;;;;;;;;x 
EVTTOOLTIP20421;The treacherous acts of [Root.GetTitledFirstName] greatly upsets [This.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIP100501;[Root.GetTitledFirstName] embraces [From.GetTitledFirstName], [Root.GetHerHis] former rival, in honor of [Root.Religion.GetRandomGodName]'s teachings;;;;;;;;;x 
EVTDESC63013;Dear [Root.GetTitledFirstName], your accusations against [FromFrom.GetTitledFirstName] proved to be truthful! The vile schemer is now languishing in my deepest, darkest dungeon.\n\nYour [From.GetTitle]\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA63013;Excellent, [From.GetTitledFirstName]!;;;;;;;;;x 
EVTDESC37000;I should ask [Root.Liege.GetTitledFirstName] to grant me a title.;;;;;;;;;x 
EVTOPTA37000;Please?;;;;;;;;;x 
EVTTOOLTIP37001;[Root.GetTitledFirstName] asks [This.GetTitledFirstName] for a title;;;;;;;;;x 
EVTDESC37002;[From.GetTitledFirstName] promised me a title!;;;;;;;;;x 
EVTOPTA37002;It had better not be hollow words...;;;;;;;;;x 
EVTDESC37003;[From.GetTitledFirstName] refused to grant me a title!;;;;;;;;;x 
EVTOPTA37003;This will not stand!;;;;;;;;;x 
EVTDESC37004;'You are not ready yet...' was [From.GetTitledFirstName] excuse to refuse grant me a title!;;;;;;;;;x 
EVTOPTA37004;I'll ask again later...;;;;;;;;;x 
EVTOPTB37004;Not again!;;;;;;;;;x 
EVTDESC37005;[Root.Liege.GetTitledFirstName] must have forgotten [Root.Liege.GetSheHe] promised [Root.Liege.GetSheHe] would grant me a title.;;;;;;;;;x 
EVTOPTA37005;Ask [Root.Liege.GetTitledFirstName] again;;;;;;;;;x 
EVTTOOLTIP37006;is asked once again to grant [Root.GetTitledFirstName] a title.;;;;;;;;;x 
EVTDESC37007;I asked [From.GetTitledFirstName] once again for a fiefdom but [From.GetTitledFirstName] refused to give me a title!;;;;;;;;;x 
EVTOPTA37007;This is an outrage!;;;;;;;;;x 
EVTDESC37050;It is time for me to get married, or at least betrothed to a suitable match!;;;;;;;;;x 
EVTTOOLTIP37051;is asked to find a spouse for [Root.GetTitledFirstName];;;;;;;;;x 
EVTOPTA37050;I shall ask [Root.Liege.GetTitledFirstName] for a suitable spouse!;;;;;;;;;x 
EVTDESC37053;[From.GetTitledFirstName] had forgotten [From.GetHerHis] promise, and told me [From.GetSheHe] would not help me find a suitable spouse!;;;;;;;;;x 
EVTDESC37054;I am still not married nor betrothed! Surely [Root.Liege.GetTitledFirstName] has not forgotten about [Root.Liege.GetHerHis] promise to find me a suitable spouse?;;;;;;;;;x 
EVTOPTA37054;I must remind [Root.Liege.GetTitledFirstName] about [Root.GetHerHis] promise!;;;;;;;;;x 
EVTTOOLTIP37055;is reminded about [This.GetHerHis] promise about finding a suitable spouse for [Root.GetTitledFirstName];;;;;;;;;x 
EVTDESC37056;An arranged marriage has been denied me, I will find me a wife without help!;;;;;;;;;x 
EVTOPTA37056;I'm getting married right now!;;;;;;;;;x 
EVTTOOLTIP37057;[Root.GetTitledFirstName] gets married without [This.GetTitledFirstName]'s consent;;;;;;;;;x 
EVTTOOLTIPA100512;shot [Root.GetTitledFirstName] with an arrow!;;;;;;;;;x 
EVTTOOLTIPB100512;tried to shoot [Root.GetTitledFirstName] with an arrow!;;;;;;;;;x 
EVTTOOLTIP100152;is grateful for [Root.GetTitledFirstName] help;;;;;;;;;x 
EVTOPTC100035;She won't ever touch my doll!;;;;;;;;;x 
EVTDESC100012;[From.GetFirstName] was surprised and a bit sceptical when I asked [From.GetHerHim] if [From.GetSheHe] wanted to borrow my toy sword, but when I insisted [From.GetFirstName] took it and then started chasing me, pretending I was a beast [From.GetSheHe] must slay!;;;;;;;;;x 
EVTOPTA100012;Roaarrr! Are we friends now?;;;;;;;;;x 
EVTOPTD4075;It is an excellent idea!;;;;;;;;;x 
EVTTOOLTIP20143;The assassination attempt fails;;;;;;;;;x 
EVTTOOLTIP75035;[Root.GetTitledFirstName] is angry at [This.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIP75033;is reprimanded by [Root.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIP20392;A letter is sent to [This.GetTitledFirstName], telling [This.GetHerHim] about the helpful noble;;;;;;;;;x 
EVTOPTC3602;Because it's you who asks, I'll get rid of it;;;;;;;;;x 
EVTTOOLTIP3122;is inspired by the diligence of [Root.GetTitledFirstName];;;;;;;;;x 
EVTDESC38299;I am not happy with the way things are. I have lost the Content trait.;;;;;;;;;x 
EVTDESC105000;It is a dire decision, to ask the Chief Qadi to grant me divorce from my husband [Root.Spouse.GetTitledFirstName]. I must be certain this is what I want before I make this decision...;;;;;;;;;x 
EVTOPTA105000;I have decided!;;;;;;;;;x 
EVTTOOLTIP105001;[Root.GetTitledFirstName] asks the Chief Qadi [This.GetTitledFirstName] for a divorce;;;;;;;;;x 
EVTOPTB105000;I cannot make this decision now...;;;;;;;;;x 
EVTDESC105001;[From.GetTitledFirstName] came to me to ask to be granted a divorce from her husband [From.Spouse.GetTitledFirstName]. I reminded [From.GetTitledFirstName] about the iddah period, the month she would have to wait before the divorce came through, and asked if her husband [From.Spouse.GetTitledFirstName] would demand compensation and the return of the mahr, the wedding gift her husband gave her when they married.;;;;;;;;;x 
EVTOPTA105001;If you have no regrets after a month, you may be divorced;;;;;;;;;x 
EVTTOOLTIP105002;[Root.GetTitledFirstName] grants [This.GetTitledFirstName] her desired divorce;;;;;;;;;x 
EVTOPTB105001;No, I cannot justify granting you a divorce;;;;;;;;;x 
EVTTOOLTIP105003;[Root.GetTitledFirstName] denies [This.GetTitledFirstName] the divorce;;;;;;;;;x 
EVTDESC105002;The Chief Qadi [From.GetTitledFirstName] asked me what if my husband [Root.Spouse.GetTitledFirstName] demanded compensation and the return of my mahr, the gift he gave me at the wedding and told me what would happen to any child of our union. He also told me I must wait a month, the iddah period, before I could be divorced or, if I was pregnant, until the child was born.;;;;;;;;;x 
EVTOPTA105002;A month I must wait, then;;;;;;;;;x 
EVTOPTB105002;Until this child is born, then;;;;;;;;;x 
EVTOPTC105002;I have changed my mind, I don't want the divorce!;;;;;;;;;x 
EVTDESC105003;The Chief Qadi [From.GetTitledFirstName] did not grant me a divorce and told me that from what I told him he saw no reason to grant me a divorce from [Root.Spouse.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA105003;I must accept this marriage then;;;;;;;;;x 
EVTDESC105004;The iddah period has gone and if I am truly certain I want a divorce from [Root.Spouse.GetTitledFirstName] I will have it.;;;;;;;;;x 
EVTOPTA105004;Yes! I am no longer married to [Root.Spouse.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTB105004;During the iddah period I have changed my mind, I don't want a divorce;;;;;;;;;x 
EVTDESC105005;My wife [Root.Spouse.GetTitledFirstName] has gone to Chief Qadi [From.GetTitledFirstName] and asked for a divorce! If she still wants it after the iddah period, a month, then our marriage will be no more...;;;;;;;;;x 
EVTOPTA105005;If that's what she wants...;;;;;;;;;x 
EVTOPTB105005;NO! I won't allow it!;;;;;;;;;x 
EVTTOOLTIP105006;[Root.GetTitledFirstName] tries to stop [This.GetTitledFirstName] from getting the divorce;;;;;;;;;x 
EVTDESC105006;I was on my way home, thinking of ways to tell my husband [From.GetTitledFirstName] that I had asked the Chief Qadi for a divorce, when [From.GetTitledFirstName] caught up with me and asked me why I wanted a divorce! I told [From.GetTitledFirstName] my reasons and he pleaded that I should reconsider, told me he did not want me to divorce him...;;;;;;;;;x 
EVTOPTA105006;No, I don't want to be married to you, I want that divorce!;;;;;;;;;x 
EVTTOOLTIPA105007;[Root.GetTitledFirstName] will not change her mind about the divorce;;;;;;;;;x 
EVTOPTB105006;Fine, but then things are going to have to change!;;;;;;;;;x 
EVTTOOLTIPB105007;[Root.GetTitledFirstName] decides to stay with [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC105007;I pleaded with [From.GetTitledFirstName], promised her all she would want if only she wouldn't leave me! She told me about her reasons and I told her I would change, that I would do anything, anything!;;;;;;;;;x 
EVTOPTA105007;But [From.GetTitledFirstName] did not change her mind;;;;;;;;;x 
EVTOPTB105007;[From.GetTitledFirstName] promised not to leave me!;;;;;;;;;x 
EVTDESC105010;I grow more worried for every day no Chief Qadi has been selected. It is as if [Root.Liege.GetTitledFirstName] does not care if just judgement is brought to those who deserve it!;;;;;;;;;x 
EVTOPTA105010;I should suggest one of my courtiers!;;;;;;;;;x 
EVTTOOLTIP105011;[Root.GetTitledFirstName] suggests a suitable person for the post of Chief Qadi;;;;;;;;;x 
EVTOPTB105010;I would be the best candidate!;;;;;;;;;x 
EVTOPTC105010;One of [Root.Liege.GetTitledFirstName]'s vassals would be most suitable;;;;;;;;;x 
EVTOPTD105010;Surely [Root.Liege.GetTitledFirstName] already knows the best person for Chief Qadi;;;;;;;;;x 
EVTDESC105011;[From.GetTitledFirstName] worries that the people of my realm lacks just judgement when I still haven't chosen a Chief Qadi to take care of all legal matters. To ease [From.GetHerHis] worry, [From.GetTitledFirstName] came to me and suggested someone who [From.GetSheHe] believe would make an excellent Chief Qadi.;;;;;;;;;x 
EVTOPTA105011;Yes, that courtier would be perfect;;;;;;;;;x 
EVTTOOLTIP105012;[Root.GetTitledFirstName] accepts [This.GetTitledFirstName] as [Root.GetHerHis] new Chief Qadi;;;;;;;;;x 
EVTOPTB105011;No, he won't do;;;;;;;;;x 
EVTTOOLTIPA105013;[Root.GetTitledFirstName] dismisses [This.GetTitledFirstName]'s candidate;;;;;;;;;x 
EVTOPTC105011;Yes, [From.GetTitledFirstName], you would be a perfect Chief Qadi!;;;;;;;;;x 
EVTTOOLTIPA105014;is granted the title of Chief Qadi;;;;;;;;;x 
EVTOPTD105011;No, I will not grant you the title of Chief Qadi;;;;;;;;;x 
EVTTOOLTIPB105014;[Root.GetTitledFirstName] refuses to make [This.GetTitledFirstName] Chief Qadi;;;;;;;;;x 
EVTOPTE105011;I agree, he would make an excellent Chief Qadi;;;;;;;;;x 
EVTOPTF105011;No, he will not become Chief Qadi;;;;;;;;;x 
EVTDESC105012;I had no idea [FromFrom.GetTitledFirstName] would suggest me as [From.GetTitledFirstName]'s new Chief Qadi! The letter congratulating me to my new position and the order to appear before [From.GetTitledFirstName] as soon as possible was bewildering, I almost did not believe it at first.;;;;;;;;;x 
EVTOPTA105012;Thank you, [FromFrom.GetTitledFirstName]!;;;;;;;;;x 
EVTTOOLTIPB105013;The new Chief Qadi, [Root.GetTitledFirstName], thanks [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC105013;I suggested that [From.GetTitledFirstName] would be [Root.Liege.GetTitledFirstName]'s new Chief Qadi and waited with bated breath as [Root.Liege.GetTitledFirstName] pondered this.;;;;;;;;;x 
EVTOPTA105013;[Root.Liege.GetSheHeCap] accepted my candidate as Chief Qadi!;;;;;;;;;x 
EVTOPTB105013;[Root.Liege.GetTitledFirstName] dismissed my suggestion...;;;;;;;;;x 
EVTDESC105014;It felt preposterous, almost insulting, to suggest myself as the new Chief Qadi for [From.GetTitledFirstName] but there were no better candidate I could have thought of than myself.;;;;;;;;;x 
EVTOPTA105014;I am the new Chief Qadi! Fear my justice!;;;;;;;;;x 
EVTOPTB105014;[From.GetTitledFirstName] did not want me as Chief Qadi;;;;;;;;;x 
EVTDESC1010;I imagined a situation which became more and more intimidating, with an outcome that could mean life or death. I swallowed hard and decided that I would...;;;;;;;;;x 
