###ÄNSI
PROV747;Doris;;;x
PROV1332;Badi;;;;;;;x
PROV2086;Medri Bahri;;;;x
PROV2087;Marya;;;;x
PROV2088;Ka'bir;;;;x
PROV2089;Wolqayt;;;;x
b_ghadames;Ghadames;;;;;x
b_ghadames2;Ghadames;;;;;x 
b_ghadames3;Ghadames;;;;;x 
b_ghadames4;Ghadames;;;;;x
b_ghadames5;Ghadames;;;;;x
b_ghadames6;Ghadames;;;;;x
b_ghadames7;Ghadames;;;;;x

c_brak;Brak;;;;;;x

b_brak;Brak;;;;;;x
b_brak2;Brak;;;;;;x
b_brak3;Brak;;;;;;x
b_brak4;Brak;;;;;;x
b_brak5;Brak;;;;;;x
b_brak6;Brak;;;;;;x
b_brak7;Brak;;;;;;x

c_ghat;Ghat;;;;;x

b_ghat;Ghat;;;;;x
b_ghat2;Ghat;;;;;x
b_ghat3;Ghat;;;;;x
b_ghat4;Ghat;;;;;x
b_ghat5;Ghat;;;;;x
b_ghat6;Ghat;;;;;x
b_ghat7;Ghat;;;;;x

c_garama;Garama;;;;;;x

b_garama;Garama;;;;;;x
b_garama2;Garama;;;;;;x
b_garama3;Garama;;;;;;x
b_garama4;Garama;;;;;;x
b_garama5;Garama;;;;;;x
b_garama6;Garama;;;;;;x
b_garama7;Garama;;;;;;x 

c_illizi;Illizi;;;;;;x 
b_illizi;Illizi;;;;;;x 
b_illizi2;Illizi;;;;;;x  
b_illizi3;Illizi;;;;;;x 
b_illizi4;Illizi;;;;;;x 
b_illizi5;Illizi;;;;;;x 
b_illizi6;Illizi;;;;;;x 
b_illizi7;Illizi;;;;;;x 


d_mzab;Mzab;;;;;x

c_wargla;Wargla;;;;;x

b_wargla;Wargla;;;;;x
b_wargla2;Wargla;;;;;x
b_wargla3;Wargla;;;;;x
b_wargla4;Wargla;;;;;x
b_wargla5;Wargla;;;;;x
b_wargla6;Wargla;;;;;x
b_wargla7;Wargla;;;;;x

c_ghardia;Ghardia;;;;;x

b_ghardia;Ghardia;;;;;x
b_ghardia2;Ghardia;;;;;x
b_ghardia3;Ghardia;;;;;x
b_ghardia4;Ghardia;;;;;x
b_ghardia5;Ghardia;;;;;x
b_ghardia6;Ghardia;;;;;x
b_ghardia7;Ghardia;;;;;x

c_laghwat;Laghwat;;;;x

b_laghwat;Laghwat;;;;x
b_laghwat2;Laghwat;;;;x
b_laghwat3;Laghwat;;;;x
b_laghwat4;Laghwat;;;;x
b_laghwat5;Laghwat;;;;x
b_laghwat6;Laghwat;;;;x
b_laghwat7;Laghwat;;;;x

c_tehouda;Tehouda;;;;;;x

b_tehouda;Tehouda;;;;;;x
b_tehouda2;Tehouda;;;;;;x
b_tehouda3;Tehouda;;;;;;x
b_tehouda4;Tehouda;;;;;;x
b_tehouda5;Tehouda;;;;;;x
b_tehouda6;Tehouda;;;;;;x
b_tehouda7;Tehouda;;;;;;x

k_awkar;Awkar;;;;;x

d_awkar;Awkar;;;;;x

c_kumbi_saleh;Kumbi Saleh;;;;;x

b_kumbi_saleh;Kumbi Saleh;;;;;x
b_agorvega;Agorvega;;;;;x
b_pintuosin;Pintuosin;;;;;x
b_mamidede;Mamidede;;;;;x
b_lomen;Lomen;;;;;x
b_biankugri;Biankugri;;;;;x
b_afrimkrom;Afrimkrom;;;;;x

c_awadaghust;Awadaghust;;;;;x

b_awadaghust;Awadaghust;;;;;x
b_tichitt;Tichitt;;;;;x
b_moudjeria;Moudjeria;;;;;x
b_tegdawust;Tegdawust;;;;;x
b_ksarelbarka;Ksarelbarka;;;;;x
b_banjani;Banjani;;;;;x
b_jesikrom;Jesikrom;;;;;x

c_massina;Massina;;;;;x

b_massina;Massina;;;;;x
b_esikaso;Esikaso;;;;;x
b_namariku;Namariku;;;;;x
b_aninenya;Aninenya;;;;;x
b_tarikomtili;Tarikomtili;;;;;x
b_dekpunga;Dekpunga;;;;;x
b_sakwelsi;Sakwelsi;;;;;x

c_mema;Mema;;;;;x

b_mema;Mema;;;;;x
b_basikkinu;Basikkinu;;;;;x
b_kwaso;Kwaso;;;;;x
b_pampanasi;Pampanasi;;;;;x
b_akuamu;Akuamu;;;;;x
b_tognara;Tognara;;;;;x
b_grube;Grube;;;;;x

c_walata;Walata;;;;;x

b_walata;Walata;;;;;x
b_tiguiguil;Tiguiguil;;;;;x
b_neiguiat;Neiguiat;;;;;x
b_konou;Konou;;;;;x
b_birnsara;Birnsara;;;;;x
b_tizert;Tizert;;;;;x
b_tarhalet;Tarhalet;;;;;x


d_wagadu;Wagadu;;;;;x

c_wagadu;Wagadu;;;;;x

b_wagadu;Wagadu;;;;;x
b_dia;Dia;;;;;x
b_nioro;Nioro;;;;;x
b_tognarab;Tognarab;;;;;x
b_kananto;Kananto;;;;;x
b_grubea;Grubea;;;;;x
b_kaniaga;Kaniaga;;;;;x

c_bambuk;Bambuk;;;;;x

b_bambuk;Bambuk;;;;;x
b_guemu;Guemu;;;;;x
b_kankossa;Kankossa;;;;;x
b_boumdeid;Boumdeid;;;;;x
b_guerou;Guerou;;;;;x
b_aftout;Aftout;;;;;x
b_tekyiman;Takyiman;;;;;x



d_wolof;Wolof;;;;;x

c_wolof;Wolof;;;;;x

b_wolof;Wolof;;;;;x
b_jowol;Jowol;;;;;x
b_velingara;Velingara;;;;;x
b_tuba;Tuba;;;;;;x
b_kelkome;Kelkome;;;;;x
b_barkedji;Barkedji;;;;;x
b_dahra;Dahra;;;;;x

c_trarza;Trarza;;;;;x

b_trarza;Trarza;;;;;x
b_awlil;Awlil;;;;;x
b_singhanah;Singhanah;;;;;x
b_mbalal;Mbalal;;;;;x
b_tiguent;Tiguent;;;;;x
b_mederdra;Menderda;;;;;x
b_bareina;Bareina;;;;;x

c_cayor;Cayor;;;;;x

b_cayor;Cayor;;;;;x
b_mboul;Mboul;;;;;x
b_podor;Podor;;;;;x
b_mboro;Mboro;;;;;x
b_saly;Saly;;;;;x
b_joal_fadiout;Joal Fadiout;;;;;x
b_kebemer;Kebemer;;;;;x

c_siine;Siine;;;;;x

b_siine;Siine;;;;;x
b_mbissel;Mbissel;;;;;x
b_tankon;Tankon;;;;;x
b_bansang;Bansang;;;;;x
b_charmen;Charmen;;;;;x
b_wassu;Wassu;;;;;x
b_karantaba;Karantaba;;;;;x


d_wadan;Wadan;;;;;x 

c_wadan;Wadan

b_wadan;Wadan;;;;;x
b_azuggi;Azuggi;;;;;x
b_ksaralkiali;Ksaralkiali;;;;;x
b_cengit;Cengit;;;;;x
b_gunjur;Gunjur;;;;;x
b_pata;Pata;;;;;x
b_kolda;Kolda

c_idjil;Idjil;;;;x
b_idjil;Idjil;;;;;x
b_zouerat;Zouerat;;;;;x
b_tazadit;Tazadit;;;;;x
b_rouessa;Rouessa;;;;;x
b_fderick;Fderick;;;;;x
b_kultesi;Kultesi;;;;;x
b_amanporo;Amanporo;;;;;x

c_akjoujt;Akjoujt;;;;;x

b_akjoujt;Akjoujt;;;;;x
b_azugi;Azugi;;;;;x
b_aulil;Aulil;;;;;x
b_atar;Atar;;;;;x
b_benichab;Benichab;;;;;x
b_awajeft;Awajeft;;;;;x
b_tufoe;Tufoe;;;;;x



d_tekrur;Tekrur;;;;;x

c_tekrur;Tekrur;;;;;x

b_tekrur;Tekrur;;;;;x
b_sinku_bara;Sinku Bara;;;;;x
b_kaedi;Kaedi;;;;;x
b_nabadji;Nabadji;;;;;x
b_odobere;Odobere;;;;;x
b_kanel;Kanel;;;;;x
b_ouro_sogui;Ouro Sogui;;;;;x

c_brakna;Brakna;;;;;x

b_brackna;Brackna;;;;;x
b_aligh;Aligh;;;;;x
b_aleg;Aleg;;;;;x
b_mal;Mal;;;;;x
b_sangrave;Sangrave;;;;;x
b_silla;Silla;;;;;x
b_onuku;Onuku;;;;;x

c_galam;Galam;;;;;x

b_galam;Galam;;;;;x
b_ballou;Ballou;;;;;x
b_gabou;Gabou;;;;;x
b_bakel;Bakel;;;;;x
b_kidira;Kidira;;;;;x
b_mouderi;Mouderi;;;;;x
b_selibaby;Selibaby;;;;;x

c_tagant;Tagant;;;;;x

b_tagant;Tagant;;;;x
b_kiffa;Kiffa;;;;;x
b_tichit;Tichit;;;;;x
b_barka;Barka;;;;;x
b_dafort;Dafort;;;;;x
b_kankossa;Kankossa;;;;;x
b_hassi_chaggar;Hassi Chaggar;;;;;x

k_mali;Mali;;;;;x

d_kangaba;Kangaba;;;;;x

c_bamako;Bamako;;;;;x

b_bamako;Bamako;;;;;x
b_krina;Krina;;;;;x
b_soussa;Soussa;;;;;x
b_dialakoro;Dialakoro;;;;;x
b_bougouni;Bougouni;;;;;x
b_baguineda;Baguineda;;;;;x
b_safo;Safo;;;;;x

c_niani;Niani;;;;;x

b_niani;Niani;;;;;x
b_ka_ba;Ka Ba;;;;;x
b_kulun;Kulun;;;;;x
b_kulita;Kulita;;;;;x
b_banbe;Banbe;;;;;x
b_fello;Fello;;;;;x
b_kalaya;Kalaya;;;;;x

c_bure;Bure;;;;;x

b_bure;Bure;;;;;x
b_kurussa;Kurussa;;;;;x
b_gonku;Gonku;;;;;x
b_nettere;Nettere;;;;;x
b_tugui;Tugui;;;;;x
b_sannu;Sannu;;;;;x
b_koyin;Koyin;;;;;x

c_do;Do;;;;;x

b_do;Do;;;;;x
b_nanako;Nanako;;;;;x
b_melia;Melia;;;;;x
b_hudi;Hudi;;;;;x
b_buguli;Buguli;;;;;x
b_ilaina;Ilaina;;;;;x
b_lope;Lope;;;;;x

c_segu;Segu;;;;;x

b_segu;Segu;;;;;x
b_wenia;Wenia;;;;;x
b_didieni;Didieni;;;;;x
b_banamba;Banamba;;;;;x
b_mourdiah;Mourdiah;;;;;x
b_gumbu;Gumbu;;;;;x
b_korola;Korola;;;;;x

d_guinea;Guinea;;;;;x

c_timbo;Timba;;;;;x

b_timbo;Timbo;;;;;x
b_minti;Minti;;;;;x
b_gbinti;Gbinti;;;;;x
b_deili;Deili;;;;;x
b_matene;Matene;;;;;x
b_batanu;Batanu;;;;;x
b_rosos;Rosos;;;;;x

c_kantor;Kantor;;;;;x

b_kantor;Kantor;;;;;x
b_sutuco;Sutuco;;;;;x
b_linti;Linti;;;;;x
b_miligi;Miligi;;;;;x
b_masono;Masono;;;;;x
b_dansaha;Dansaha;;;;;x
b_dofo;Dofo;;;;;x

c_gabu;Gabu;;;;;x

b_gabu;Gabu;;;;;x
b_kansala;Kansala;;;;;x
b_buba;Buba
b_bolama;Bolama;;;;;x
b_kawala;Kawala;;;;;x
b_bissora;Bissora;;;;;x
b_chanto;Chanto;;;;;x

c_beafada;Beafada;;;;;x

b_beafada;Beafada;;;;;x
b_boffa;Boffa;;;;;x
b_waliya;Waliya;;;;;x
b_bakoro;Bakoro;;;;;x
b_lounki;Lounki;;;;;x
b_kinkilba;Kinkilba;;;;;x
b_che_che;Che Che;;;;;x

c_bulom;Bulom;;;;;x

b_bulom;Bulom;;;;;x
b_kono;Kono;;;;;x
b_mosuri;Mosuri;;;;;x
b_loko;Loko;;;;;x
b_gbinti;Gbinti;;;;;x
b_rokupr;Rokupr;;;;;x
b_mabinti;Mabinti;;;;;x


d_jenne_jeno;Jenne Jeno;;;;;x

c_jenne;Jenne;;;;;x

b_jenne;Djenne;;;;;x
b_kaniana;Kaniana;;;;;x
b_tonomba;Tonomba;;;;;x
b_hambarketalo;Hambarketalo;;;;;x
b_pondori;Pondori;;;;;x
b_fakala;Fakala;;;;;x
b_kewa;Kewa;;;;;x

c_kala;Kala;;;;;x

b_kala;Kala;;;;;x
b_sagan;Sagan;;;;;x
b_mopti;Mopti;;;;;x
b_isaq;Isaq;;;;;x
b_kouenza;Kouenza;;;;;x
b_konna;Konna;;;;;x
b_koumaira;Koumaira;;;;;x

c_tendima;Tendima;;;;;x

b_tendima;Tendima;;;;;x
b_sah;Sah;;;;;x
b_niafunke;Niafunke;;;;;x
b_dianke;Dianke;;;;;x
b_tonka;Tonka;;;;;x
b_torkya;Torkya;;;;;x
b_dire;Dire;;;;;x

c_yatenga;Yatenga;;;;;x

b_yatenga;Yatenga;;;;;x
b_wahiguya;Wahiguya;;;;;x
b_oula;Oula;;;;;x
b_seguenega;Seguenega;;;;;x
b_tikare;Tikare;;;;;x
b_kalsaka;Kalsaka;;;;;x
b_thiou;Thiou;;;;;x

c_bendugu;Bendugu;;;;;x

b_bendugu;Bendugu;;;;;x
b_san;San;;;;;x
b_susu;Susu;;;;;x
b_koutiala;Koutiala;;;;;x
b_konseguela;Konseguela;;;;;x
b_mpessoba;Mpessoba;;;;;x
b_bla;Bla;;;;;x

c_haayre;Hasyre;;;;;x
b_haayre;Hasyre;;;;;x
b_douentza;Douentza
b_debere;Debere;;;;;x
b_kikara;Kikara;;;;;x
b_dala;Dala;;;;;x
b_sanga;Sanga;;;;;x
b_boni;Boni;;;;;x



k_gao;Gao;;;;;x

d_west_azbin;West Abzin;;;;;x

c_air;Air;;;;;x

b_air;Air;;;;;x
b_agadez;Agadez;;;;;x
b_assode;Assode;;;;;x
b_timia;Timia;;;;;x
b_tchirozerine;Tchirozerine;;;;;x
b_dannet;Dannet;;;;;x
b_gougaram;Gourgaram;;;;;x

c_in_gall;In Gall;;;;;x

b_in_gall;In Gall;;;;;x
b_azelik;Azelik;;;;;x
b_marandet;Marandet;;;;;x
b_tassara;Tassara;;;;;x
b_teguidda;Taguidda;;;;;x
b_arlit;Arlit;;;;;x
b_lountana;Lountana;;;;;x

c_ader;Ader;;;;;x

b_ader;Ader;;;;;x
b_tahoua;Tahoua;;;;;x
b_tilia;Tilia;;;;;x
b_tchin_tabaradene;Tchin Tabaradene;;;;;x
b_taza;Taza;;;;;x
b_takanmat;Takanmat;;;;;x
b_kao;Kao;;;;;x

c_takedda;Takedda;;;;;x

b_takedda;Takedda;;;;;x
b_soukoula;Soukoula;;;;;x
b_assamakka;Assamkka;;;;;x
b_in_guezzam;In Guezzam;;;;;x
b_bughesa;Bughesa;;;;;x
b_daba;Daba;;;;;x
b_mantina;Mantina;;;;;x

c_itesan;Itesan;;;;;x

b_itesan;Itesan;;;;;x
b_tahut;Tahut;;;;;x
b_tanout;Tanout;;;;;x
b_aberissinat;Aberissinat;;;;;x
b_dan_sa;Dan Sa;;;;;x
b_abalak;Abalak;;;;;x
b_bermo;Bermo;;;;;x


d_timbuktu;Timbuktu;;;;;x

c_timbuktu;Timbuktu;;;;;x

b_timbuktu;Timbuktu;;;;;x
b_alafia;Alafia;;;;;x
b_salam;Salam;;;;;x
b_ber;Ber;;;;;x
b_boureminaly;Boureminaly;;;;;x
b_toya;Toya;;;;;x
b_aglal;Aglal;;;;;x

c_azawad;Azawad;;;;;x

b_azawad;Azawad;;;;;x
b_guezzam;Guezzam;;;;;x
b_tamanrasset;Tamanrasset;;;;;x
b_tazrouk;Tazrouk;;;;;x
b_alwarta;Alwarta;;;;;x
b_asandyi;Asandyi;;;;;x
b_goumel;Goumel;;;;;x

c_arawan;Arawan;;;;;x

b_arawan;Arawan;;;;;x
b_tessalit;Tessalit;;;;;x
b_aguelhok;Aguelhok;;;;;x
b_abalessa;Abalessa;;;;;x
b_tinzaouten;Tinzaouten;;;;;x
b_korndobougou;Korndobougou;;;;;x
b_niangassagou;Niangassagou;;;;;x

c_taghaza;Taghaza;;;;;x

b_taghaza;Taghaza;;;;;x
b_kerzaz;Kerzaz;;;;;x
b_metarta;Metarta;;;;;x
b_reggane;Reggane;;;;;x
b_adrar;Adrar;;;;;x
b_awgrut;Awgrut;;;;;x
b_charwini;Charwini;;;;;x

c_tabalbala;Tabalbala;;;;;x

b_tabalbala;Tabalbala;;;;;x
b_lofti;Lofti;;;;;x
b_cheraia;Cheraia;;;;;x
b_zeraib;Zeraib;;;;;x
b_boutbiga;Boutbiga;;;;;x
b_kongossaba;Kongossaba;;;;;x
b_kouroudiala;Kouroudiala;;;;;x


d_gao;Gao;;;;;x

c_gao;Gao;;;;;x

b_gao;Gao;;;;;x
b_kawkaw;Kawkaw;;;;;x
b_sarnah;Sarnah;;;;;x
b_gaosaney;Gaosaney;;;;;x
b_bourem;Bourem;;;;;x
b_ansongo;Ansongo;;;;;x
b_menaka;Menaka;;;;;x

c_tadmekka;Tadmekka;;;;;x

b_tadmekka;Tadmekk;;;;;x
b_es_suk;Es Suk;;;;;x
b_kidal;Kidal;;;;;x
b_tasalit;;Tasalit;;;;;x
b_anefis;Anefis;;;;;x
b_aguelhok;Aguelok;;;;;x
b_telabit;Telabit;;;;;x

c_azawagh;Azawagh;;;;;x

b_azawagh;Azawagh;;;;;x
b_ezgeuret;Ezgeuret;;;;;x
b_abourak;Abourak;;;;;x
b_inekar;Inekar;;;;;x
b_menaka;Menaka;;;;;x
b_anderambukane;Anderambukane;;;;;x
b_akabar;Akabar;;;;;x

c_hombori;Hombori;;;;;x

b_hombori;Hombori;;;;;x
b_wanzerbe;Wanzerbe;;;;;x
b_samakanda;Samakanda;;;;;x
b_kughah;Kughah;;;;;x
b_dinde;Dinde;;;;;x
b_gossi;Gossi;;;;;x
b_walam;Walam;;;;;x

c_karabara;Karabara;;;;;x

b_karabara;Karabara;;;;;x
b_tirka;Tirka;;;;;x
b_seghmarah;Seghmarah;;;;;x
b_temera;Temera;;;;;x
b_aoua;Sous;;;;;x
b_bourem;Bourem;;;;;x
b_bamba;Bamba;;;;;x


d_zarmaganda;Zarmaganda;;;;;x

c_zarma;Zarma;;;;;x


b_zarma;Zarma
b_bura;Bura
b_wallam;Wallam;;;;;x
b_tera;Tera;;;;;x
b_bani_bangu;Bani Bangu;;;;;x
b_bissao;Bissao;;;;;x
b_dakala;Dakala;;;;;x

c_dallol;Dallol;;;;;x

b_dallol;Dallol;;;;;x
b_say;Say;;;;;x
b_ghaiaru;Ghaiaru;;;;;x
b_melil;Melil;;;;;x
b_dau;Dau;;;;;x
b_baleyara;Baleyara;;;;;x
b_farmas;Farmas;;;;;x

c_dendi;Dendi;;;;;x

b_dendi;Dendi;;;;;x
b_lulama;Lulama;;;;;x
b_niamey;Niamey;;;;;x
b_barkia;Barkia;;;;;x
b_diney;Diney;;;;;x
b_aboka;Aboka;;;;;x
b_kollo;Kollo;;;;;x

c_aribanda;Aribanda;;;;;x

b_aribanda;Aribanda;;;;;x
b_kukiya;Kukiya;;;;;x
b_tendirma;Tendirma;;;;;x
b_bersana;Bersana;;;;;x
b_gotheye;Gotheye;;;;;x
b_bankare;Bamkare;;;;;x
b_kokoro;Kokoro;;;;;x



k_borno_kanem;Borno Kanem;;;;;x

d_borno;Borno;;;;;x

c_borno;Borno;;;;;x

b_borno;Borno;;;;;x
b_ngazargamu;Ngazargamu;;;;;x
b_kukava;Kukava;;;;;x
b_damasak;Damasak;;;;;x
b_garunda;Garunda;;;;;x
b_bimi;Bimi;;;;;x
b_yebi_jemi;Yebi Jemi;;;;;x

c_muniyo;Muniyo;;;;;x

b_muniyo;Muniyo;;;;;x
b_manga;Manga;;;;;x
b_gambaru;Gambaru;;;;;x
b_mar;MAr;;;;;x
b_kassimwa;Kassimwa;;;;;x
b_zamtam;Zamtam;;;;;x
b_chetimari;Chetimari;;;;;x

c_mandara;Mandara;;;;;x

b_mandara;Mandara
b_mubi;Mubi;;;;;x
b_dulo;Dulo;;;;;x
b_garoua;Garoua;;;;;x
b_maiduguri;Maiduguri;;;;;x
b_bama;Bama;;;;;x
b_warabe;Warabe;;;;;x

c_barruwa;Barruwa;;;;;x

b_barruwa;Barruwa;;;;;x
b_lada;Lada;;;;;x
b_maoli;Maoli;;;;;x
b_maliari;Maliari;;;;;x
b_tumur;Tumur;;;;;x
b_mamuri;Mamuri;;;;;x
b_djibri;Djibri;;;;;x

c_bedde;Bedde;;;;;x

b_bedde;Bedde;;;;;x
b_kerri_kerri;Kerri Kerri;;;;;x
b_raga;Raga;;;;;x
b_gashua;Gashua;;;;;x
b_auyo;Auyo;;;;;x
b_malam_maduri;Malam Maduri;;;;;x
b_kukuri;Kukuri;;;;;x

c_diskam;Diskam;;;;;x

b_diskam;Diskam;;;;;x
b_geidam;Geidam;;;;;x
b_yusufari;Yusufari;;;;;x
b_ngelzarma;Ngelzarma;;;;;x
b_damaturu;Damaturu;;;;;x
b_dapchi;Dapchi;;;;;x
b_baiomari;Baiomari;;;;;x


d_east_azbin;East Azbin;;;;;x

c_zinder;Zinder;;;;;x

b_zinder;Zinder;;;;;x
b_boure;Boure;;;;;x
b_tanout;Tanout;;;;;x
b_garazu;Garazu;;;;;x
b_gamu;Gamu;;;;;x
b_zermu;Zermu;;;;;x
b_mirria;Mirria;;;;;x

c_tenere;Tenere;;;;;x

b_tenere;Tenere;;;;;x
b_fachi;Fachi;;;;;x
b_aghram;Aghram;;;;;x
b_gidan_ajah;Giden Ajah;;;;;x
b_geren_sama;Geren Sama;;;;;x
b_anieze;Anieze;;;;;x
b_kakieba;Kakieba;;;;;x

c_kawar;Kawar;;;;;x

b_kawar;Kawar;;;;;x
b_abzar;Abzar;;;;;x
b_ankalas;Ankalas;;;;;x
b_agadem;Agadem;;;;;x
b_bilma;Bilma;;;;;x
b_obalemo;Obalmemo;;;;;x
b_karishin;Karishin;;;;;x

c_djado;Djado;;;;;x

b_djado;Djado;;;;;x
b_aney;Aney;;;;;x
b_dirku;Dirku;;;;;x
b_zunkudi;Zunkudi;;;;;x
b_tatauda;Tatauda;;;;;x
b_udara;Udaru;;;;;x
b_minga;Minga;;;;;x


d_kanem;Kanem;;;;;x

c_kanem;Kanem;;;;;x

b_kanem;Kanem;;;;;x
b_njimi;Njimi;;;;;x
b_mao;Mao;;;;;x
b_manan;Manam;;;;;x
b_rig_rig;Rig Rig;;;;;x
b_mulut;Mulut;;;;;x
b_chige;Chige;;;;;x

c_bagirmi;Bagirmi;;;;;x

b_bagirmi;Bagirimi;;;;;x
b_bachum;Bachum;;;;;x
b_massakory;assakory;;;;;x
b_burni;Burni;;;;;x
b_tatap;Tatap;;;;;x
b_ngouri;Ngouri;;;;;x
b_ilili;Ilili;;;;;x

c_kotoko;Kotoko;;;;;x

b_kotoko;Kotoko;;;;;x
b_makari;Makari;;;;;x
b_blangwa;Biangwa;;;;;x
b_nguma;Nguma;;;;;x
b_bedam;Bedam;;;;;x
b_gambaru;Gambaru;;;;;x
b_tokse;Tokose;;;;;x

c_logone;Logone;;;;;x

b_logone;Logone;;;;;x
b_bum_bum;Bum Bum;;;;;x
b_logone_birni;Logone Birni;;;;;x
b_bomboyo;Bomboyo;;;;;x
b_lasada;Lasada;;;;;x
b_hinale;Hinale;;;;;x
b_mildi;Mildi;;;;;x


d_waddai;Waddai;;;;;x

c_waddai;Waddai;;;;;x

b_wara;Ouara;;;;;x
b_waddai;Waddai;;;;;x
b_abishi;Abishi;;;;;x
b_diur;Diur;;;;;x
b_dobu;Dobu;;;;;x
b_chechan;Chechan;;;;;x
b_korio;Koria;;;;;x

c_geneina;Geneina;;;;;x

b_geneina;Al Junayah;;;;;x
b_zalingei;Zalingei;;;;;x
b_kabkabia;Kabkabia;;;;;x
b_deleig;Deleig;;;;;x
b_arawala;Arawala;;;;;x
b_ustani;Ustani;;;;;x

c_fitri;Fitri;;;;;x

b_fitri;Fitri;;;;;x
b_yao;Yao;;;;;x
b_korkor;Korkor;;;;;x
b_djaya;Djaya;;;;;x
b_bokoro;Bokoro;;;;;x
b_ati;Ati;;;;;x




k_mossi;Mossi;;;;;x

d_gur;Gur

c_kong;Kong;;;;;x

b_kong;Kong;;;;;x
b_dikidugu;Dikidugu;;;;;x
b_kadaioha;Kadaioha;;;;;x
b_korhogo;Korhogo;;;;;x
b_nasien;Nasien;;;;;x
b_dabakala;Debakala;;;;;x
b_niangoloko;Niangoloko;;;;;x

c_bagoe;Bagoe;;;;;x

b_tingrela;Tingrela;;;;;x
b_karala;Karala;;;;;x
b_damaro;Damaro;;;;;x
b_sidia;Sidia;;;;;x
b_beyla;Beyla;;;;;x
b_bissandugu;Bissandugu;;;;;x
b_banankoro;Banakoro;;;;;x

c_gwiriko;Gwiriko;;;;;x

b_gwiriko_say;Gwiriko Say;;;;;x
b_kidiana;Kidiana;;;;;x
b_tingrela;Tingrela;;;;;x
b_misseni;Misseni;;;;;x
b_furu;Furu;;;;;x
b_kuto;Kuto;;;;;x
b_zaniena;Zaniena;;;;;x

c_lobi;Lobi;;;;;x

b_lobi;Lobi;;;;;x
b_banfora;Banfora;;;;;x
b_beragadugu;Beragadugu;;;;;x
b_tussiana;Tussiana;;;;;x
b_mussodugu;Mussodugu;;;;;x
b_moami;Moami;;;;;x
b_dialakoro;Dialakoro;;;;;x



d_atakora;Atakora;;;;;x

c_dagbon;Dagoban

b_yendi;Yendi;;;;;x
b_demon;Demon;;;;;x
b_wulensi;Wulensi;;;;;x
b_chamba;Chamba;;;;;x
b_binjai;Binjai;;;;;x
b_zabzugu;Zabzugu;;;;;x

c_atakora;Atakora;;;;;x

b_sansanne_mango;Sansanne Mango;;;;;x
b_nkwanta;Nkwanta;;;;;x
b_katchebi;Katchebi;;;;;x
b_dormabin;Dormabin;;;;;x
b_pagala;Pagala;;;;;x
b_kpassa;Kpassa;;;;;x

c_ketu;Ketu;;;;;x

b_ketu;Ketu;;;;;x
b_dagni;Dagni;;;;;x
b_papase;Papase;;;;;x
b_jasikan;Jasikan;;;;;x
b_bafo;Bafo;;;;;x
b_tapa_abotoase;Tapa Abotoase;;;;;x


d_bura;Bura;;;;;x

c_gurma;Gurma;;;;;x

b_gurma;Gurma;;;;;x
b_zorgho;Zorgho;;;;;x
b_fada_ngurma;Fada Ngurma;;;;;x
b_botu;Botu;;;;;x
b_kantchari;Kantchari;;;;;x
b_diapaga;Diapaga;;;;;x
b_partiaga;Partiaga;;;;;x

c_bilanga;Bilanga;;;;;x

b_bilanga;Bilanga;;;;;x
b_hunde;Hunde;;;;;x
b_yaongo;Yaongo;;;;;x
b_pissin;Pissin;;;;;x
b_diabo;Diabo;;;;;x
b_poutenga;Poutenga;;;;;x

c_wagadugu;Wagadugu;;;;;x

b_wagadugu;Wagadugu;;;;;x
b_kombissiri;Komissiri;;;;;x
b_pitmoaga;Pitmoaga;;;;;x
b_laye;Laye;;;;;x
b_lindi;Lindi;;;;;x
b_ziniare;Ziniare;;;;;x
b_kudugu;Kudugu;;;;;x

c_liptako;Liptako;;;;;x

b_dori;Dori;;;;;x
b_ghuntil;Ghuntil;;;;;x
b_tuguri;Tuguri;;;;;x
b_manni;Manni;;;;;x
b_liptugu;Liptugu;;;;;x
b_gorgadji;Gordgadji;;;;;x

c_tenkodogo;Tenkodogo;;;;;x

b_tenkodogo;Tenkodogo;;;;;x
b_gambaga;Gambaga;;;;;x
b_jeffisi;Jeffisi;;;;;x
b_heng;Heng;;;;;x
b_bolgatanga;Bolgatanga;;;;;x
b_navrongo;Navrongo;;;;;x


d_gonja;Gonja;;;;;x

c_bonoman;Bonoman;;;;;x

b_bonomanso;Bonoman;;;;;x
b_darmongo;Darmonogo;;;;;x
b_lampurgo;Lampurgo;;;;;x
b_kulmasa;Kulmasa;;;;;x
b_kundugu;Kundugu;;;;;x
b_gbasinkpa;Gbasinkpa;;;;;x
b_busunu;Busunu;;;;;x

c_kumasi;Kumasi;;;;;x

b_kumasi;Kumasi;;;;;x
b_dawadawa;Dawadawa;;;;;x
b_wenchi;Wenchi;;;;;x
b_techiman;Techiman;;;;;x
b_sunyani;Sunyani;;;;;x
